IR Wavenumber(cm-1),Absorbance
4000,0.000477987
3999,0.000521466
3998,0.000521466
3997,0.00056495
3996,0.000608438
3995,0.000608438
3994,0.000608438
3993,0.000608438
3992,0.000608438
3991,0.00056495
3990,0.00056495
3989,0.00056495
3988,0.00056495
3987,0.000608438
3986,0.000608438
3985,0.000651931
3984,0.000651931
3983,0.000651931
3982,0.000651931
3981,0.000651931
3980,0.000695428
3979,0.000695428
3978,0.000738929
3977,0.000738929
3976,0.000695428
3975,0.000738929
3974,0.000738929
3973,0.000738929
3972,0.000782434
3971,0.000782434
3970,0.000825944
3969,0.000825944
3968,0.000825944
3967,0.000782434
3966,0.000695428
3965,0.000608438
3964,0.000521466
3963,0.000477987
3962,0.000477987
3961,0.00056495
3960,0.000651931
3959,0.000738929
3958,0.000782434
3957,0.000738929
3956,0.000695428
3955,0.000608438
3954,0.00056495
3953,0.000521466
3952,0.000521466
3951,0.000521466
3950,0.000521466
3949,0.000521466
3948,0.000521466
3947,0.00056495
3946,0.00056495
3945,0.000651931
3944,0.000738929
3943,0.000782434
3942,0.000825944
3941,0.000782434
3940,0.000738929
3939,0.000695428
3938,0.000651931
3937,0.000608438
3936,0.000608438
3935,0.000608438
3934,0.000608438
3933,0.000608438
3932,0.000608438
3931,0.000608438
3930,0.000608438
3929,0.000608438
3928,0.000651931
3927,0.000695428
3926,0.000782434
3925,0.000825944
3924,0.000825944
3923,0.000825944
3922,0.000782434
3921,0.000738929
3920,0.000738929
3919,0.000695428
3918,0.000651931
3917,0.000608438
3916,0.00056495
3915,0.000521466
3914,0.000521466
3913,0.000521466
3912,0.00056495
3911,0.00056495
3910,0.00056495
3909,0.00056495
3908,0.000521466
3907,0.000477987
3906,0.000434512
3905,0.000391041
3904,0.000391041
3903,0.000391041
3902,0.000434512
3901,0.000521466
3900,0.00056495
3899,0.00056495
3898,0.00056495
3897,0.000521466
3896,0.00056495
3895,0.000608438
3894,0.000695428
3893,0.000738929
3892,0.000738929
3891,0.000695428
3890,0.000651931
3889,0.00056495
3888,0.000521466
3887,0.00056495
3886,0.000608438
3885,0.000651931
3884,0.000651931
3883,0.000608438
3882,0.000521466
3881,0.000434512
3880,0.000434512
3879,0.000434512
3878,0.000521466
3877,0.000608438
3876,0.000651931
3875,0.000738929
3874,0.000738929
3873,0.000695428
3872,0.000651931
3871,0.000651931
3870,0.000651931
3869,0.000651931
3868,0.000608438
3867,0.000608438
3866,0.000608438
3865,0.000651931
3864,0.000695428
3863,0.000695428
3862,0.000695428
3861,0.000651931
3860,0.000608438
3859,0.000608438
3858,0.00056495
3857,0.000477987
3856,0.000434512
3855,0.000434512
3854,0.000434512
3853,0.000434512
3852,0.000434512
3851,0.000434512
3850,0.000521466
3849,0.000608438
3848,0.000695428
3847,0.000782434
3846,0.000869459
3845,0.0009565
3844,0.00104356
3843,0.001130636
3842,0.001087096
3841,0.0009565
3840,0.000782434
3839,0.000608438
3838,0.000477987
3837,0.000434512
3836,0.000434512
3835,0.000477987
3834,0.000521466
3833,0.00056495
3832,0.00056495
3831,0.000651931
3830,0.000695428
3829,0.000738929
3828,0.000738929
3827,0.000738929
3826,0.000695428
3825,0.000695428
3824,0.000695428
3823,0.000651931
3822,0.000608438
3821,0.000608438
3820,0.000651931
3819,0.000651931
3818,0.000695428
3817,0.000695428
3816,0.000651931
3815,0.00056495
3814,0.000477987
3813,0.000434512
3812,0.000477987
3811,0.000521466
3810,0.000608438
3809,0.000695428
3808,0.000695428
3807,0.000608438
3806,0.00056495
3805,0.000521466
3804,0.000521466
3803,0.000608438
3802,0.000738929
3801,0.000912977
3800,0.001000028
3799,0.001000028
3798,0.0009565
3797,0.000912977
3796,0.000825944
3795,0.000738929
3794,0.000651931
3793,0.000608438
3792,0.000651931
3791,0.000695428
3790,0.000782434
3789,0.000782434
3788,0.000782434
3787,0.000738929
3786,0.000695428
3785,0.000695428
3784,0.000695428
3783,0.000695428
3782,0.000738929
3781,0.000825944
3780,0.000869459
3779,0.000869459
3778,0.000782434
3777,0.000651931
3776,0.000608438
3775,0.00056495
3774,0.000651931
3773,0.000738929
3772,0.000782434
3771,0.000825944
3770,0.000825944
3769,0.000782434
